angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,SDSS,PMF,Teff,e_Teff,logg,e_logg,pMS,pELM,Sloan,SimbadName,_RA,_DE,Type
0.069785,182.7989680891739,64.3342920079808,1584805553124515200,182.79896808917,64.33429200798,130.02870590899474,52.235917467782365,0.1232682562014893,,15.552624,-0.058063507,,-6.207867887463644,-6.684579859386923,1.0409608,10.353209099324095,0,1,182.79896808917,64.33429200798,182.799,64.3343056,121111.76+642003.5,0599-52317-0186,11278,66,3.624,0.022,0.61,0.43,Sloan,SDSS J121111.76+642003.5,182.799,64.33431,Low Mass White Dwarfs
0.06448,233.1750433428829,52.4132678830816,1596117912866710912,233.17504334288,52.41326788308,84.26507597556709,50.82873195740372,0.0812567936231968,,17.74394,0.0048561096,,-5.681009451906206,-0.3152598475302959,0.9573727,11.519406350122672,0,1,233.17504334288,52.41326788308,233.1750417,52.41325,153242.01+522447.7,0795-52378-0475,12000,129,4.874,0.041,0.46,0.41,Sloan,SDSS J153242.02+522447.7,233.17504,52.41325,Low Mass White Dwarfs
0.108826,233.1750433428829,52.4132678830816,1596117912866710912,233.17504334288,52.41326788308,84.26507597556709,50.82873195740372,0.0812567936231968,,17.74394,0.0048561096,,-5.681009451906206,-0.3152598475302959,0.9573727,11.519406350122672,0,1,233.17504334288,52.41326788308,233.1750833,52.41325,153242.02+522447.7,3429-54976-0519,11215,89,4.595,0.037,0.5,0.43,Sloan,SDSS J153242.02+522447.7,233.17508,52.41325,Low Mass White Dwarfs
0.313014,37.6360773282062,-8.2443572779992,5176530709556833792,37.63607732821,-8.244357278,178.70855329747116,-59.893954175387975,0.129562570927165,,16.026628,-0.124842644,,0.7760136177393042,-9.644244190819832,1.1490484,10.95497629871269,0,1,37.63607732821,-8.244357278,37.6360417,-8.2442778,023032.65-081439.4,0454-51908-0592,13824,127,3.688,0.027,0.42,0.32,Sloan,SDSS J023032.66-081439.6,37.63604,-8.24428,Low Mass White Dwarfs
0.175669,141.1517153412094,4.0265781187306,3845783776345263104,141.15171534121,4.02657811873,228.5843796805692,35.60252377540553,0.0969806036844512,,17.512373,-0.14730835,,0.0072254816845885,-3.692470853452669,0.9571143,10.348962518384848,0,1,141.15171534121,4.02657811873,141.1516667,4.0265833,092436.40+040135.7,0568-52254-0468,17174,470,3.972,0.076,0.57,0.42,Sloan,SDSS J092436.40+040135.6,141.15167,4.02658,Low Mass White Dwarfs
0.054228,220.7570105119148,51.7361531160612,1604107479750791552,220.75701051191,51.73615311606,90.10911212489334,57.68550534314489,0.2212723824110343,2.819208126617504,16.094572,-0.2297554,-0.0084335241833737,-8.175159425871037,-12.9551930717764,1.1016202,12.020717151035187,1,0,220.75701051191,51.73615311606,220.757,51.7361667,144301.68+514410.2,1327-52781-0027,19890,282,4.461,0.05,0.52,0.41,Sloan,SDSS J144301.68+514410.3,220.757,51.73617,Low Mass White Dwarfs
0.29914,192.1890472591131,46.5193336937662,1542672164470554496,192.18904725911,46.51933369377,124.3210183037767,70.60168261385712,0.1855150513298176,,16.049288,0.038827896,,-2.400156399443335,-18.152075660648023,1.0179172,12.362737597442202,0,1,192.18904725911,46.51933369377,192.1890417,46.5194167,124845.37+463109.9,3367-54998-0289,10704,50,4.625,0.023,0.56,0.48,Sloan,SDSS J124845.37+463109.8,192.18904,46.51942,Low Mass White Dwarfs
0.141897,305.8683319457302,12.8819129052691,1803981406436541568,305.86833194573,12.88191290527,55.45901894258567,-13.73662337576194,0.0345718053687522,,17.05854,-0.027053833,,-0.819238772804591,-4.158574115758395,1.0121934,10.194601830877026,0,1,305.86833194573,12.88191290527,305.8682917,12.8819167,202328.39+125254.9,2248-53558-0254,16335,427,3.979,0.073,0.52,0.34,Sloan,SDSS J202328.40+125254.9,305.86829,12.88192,Low Mass White Dwarfs
0.139321,261.4336656636797,27.4125417523015,4598180721400980736,261.43366566368,27.4125417523,50.51558451529486,29.903224152815703,-0.0273783372011654,,17.129353,-0.05760193,,-1.21930880357716,-5.047890825551439,0.9435385,10.706471033211905,0,1,261.43366566368,27.4125417523,261.433625,27.4125278,172544.07+272445.1,2182-53905-0506,13196,75,3.751,0.023,0.52,0.37,Sloan,SDSS J172544.08+272445.2,261.43362,27.41253,Low Mass White Dwarfs
0.109194,247.9535375648096,37.4380888101563,1331078951364611712,247.95353756481,37.43808881016,60.07590045897109,42.96621655065263,0.0882421593682264,,16.915466,-0.21170235,,-1.5070129319155834,-4.748083624515451,1.0437216,10.4022689174259,0,1,247.95353756481,37.43808881016,247.9535,37.4380833,163148.84+372617.1,1173-52790-0229,16584,347,3.943,0.06,0.52,0.41,Sloan,SDSS J163148.84+372617.2,247.9535,37.43808,Low Mass White Dwarfs
0.03383,224.9748332955497,41.4808517028853,1297028274547468032,224.97483329555,41.48085170289,69.93517489373212,60.08437827584498,0.0615520693029538,,16.929415,-0.06083107,,-2.548231847679297,-3.7478694964140544,0.9966301,10.210916377347615,0,1,224.97483329555,41.48085170289,224.9748333,41.4808611,145953.96+412851.1,3406-54970-0593,11435,67,3.858,0.024,0.54,0.35,Sloan,SDSS J145953.96+412851.1,224.97483,41.48086,Low Mass White Dwarfs
0.117456,224.9748332955497,41.4808517028853,1297028274547468032,224.97483329555,41.48085170289,69.93517489373212,60.08437827584498,0.0615520693029538,,16.929415,-0.06083107,,-2.548231847679297,-3.7478694964140544,0.9966301,10.210916377347615,0,1,224.97483329555,41.48085170289,224.974875,41.4808611,145953.97+412851.1,1291-52735-0307,11042,124,3.607,0.041,0.54,0.28,Sloan,SDSS J145953.96+412851.1,224.97487,41.48086,Low Mass White Dwarfs
0.117456,224.9748332955497,41.4808517028853,1297028274547468032,224.97483329555,41.48085170289,69.93517489373212,60.08437827584498,0.0615520693029538,,16.929415,-0.06083107,,-2.548231847679297,-3.7478694964140544,0.9966301,10.210916377347615,0,1,224.97483329555,41.48085170289,224.974875,41.4808611,145953.97+412851.1,1291-52738-0314,11134,166,3.661,0.061,0.54,0.29,Sloan,SDSS J145953.96+412851.1,224.97487,41.48086,Low Mass White Dwarfs
0.08798,193.8743673464226,15.4639399991963,3931209752445370880,193.87436734642,15.4639399992,307.75992252415693,78.29761750057182,-0.1020897090771849,,17.526484,-0.12518883,,-2.1554052291310204,-3.0698899966430155,0.97053194,10.397218538518214,0,1,193.87436734642,15.4639399992,193.874375,15.4639167,125529.85+152750.1,1771-53498-0344,12937,228,3.582,0.052,0.36,0.34,Sloan,SDSS J125529.85+152750.1,193.87437,15.46392,Low Mass White Dwarfs
0.168077,155.8361253398126,7.9928267330862,3863485849128162560,155.83612533981,7.99282673309,234.58804878030645,50.09053070138709,0.1512500259273317,,16.899559,-0.24598885,,-3.0720032623918505,-7.485608497340218,1.059759,11.439690468680071,0,1,155.83612533981,7.99282673309,155.8360833,7.9928056,102320.66+075934.1,2854-54465-0283,18726,217,4.558,0.036,0.48,0.43,Sloan,SDSS J102320.66+075934.0,155.83608,7.99281,Low Mass White Dwarfs
0.168077,155.8361253398126,7.9928267330862,3863485849128162560,155.83612533981,7.99282673309,234.58804878030645,50.09053070138709,0.1512500259273317,,16.899559,-0.24598885,,-3.0720032623918505,-7.485608497340218,1.059759,11.439690468680071,0,1,155.83612533981,7.99282673309,155.8360833,7.9928056,102320.66+075934.1,2854-54480-0286,19596,241,4.661,0.041,0.48,0.41,Sloan,SDSS J102320.66+075934.0,155.83608,7.99281,Low Mass White Dwarfs
0.164005,342.9616645385807,-8.4369066066784,2610163127425929600,342.96166453858,-8.43690660668,60.77564524177828,-56.10871430492154,0.0289428883644258,,18.347256,-0.234869,,-1.187775818121022,-6.860274395770023,1.0124011,12.561031808116184,0,1,342.96166453858,-8.43690660668,342.9616667,-8.4368611,225150.80-082612.7,0724-52238-0334,19629,813,4.516,0.131,0.45,0.41,Sloan,SDSS J225150.80-082612.6,342.96167,-8.43686,Low Mass White Dwarfs
0.034539,237.0665304588872,45.3684776479908,1397825113966607232,237.06653045889,45.36847764799,72.42594408026332,50.59655686662019,0.0741926153412694,,16.507322,-0.015529633,,-6.872715645150936,-2.6518226241092524,0.99753034,10.84364947262937,0,1,237.06653045889,45.36847764799,237.0665417,45.3684722,154815.97+452206.5,1333-52782-0602,10348,69,3.531,0.032,0.52,0.21,Sloan,SDSS J154815.98+452206.5,237.06654,45.36847,Low Mass White Dwarfs
0.034539,237.0665304588872,45.3684776479908,1397825113966607232,237.06653045889,45.36847764799,72.42594408026332,50.59655686662019,0.0741926153412694,,16.507322,-0.015529633,,-6.872715645150936,-2.6518226241092524,0.99753034,10.84364947262937,0,1,237.06653045889,45.36847764799,237.0665417,45.3684722,154815.97+452206.5,3454-55003-0290,10663,62,3.766,0.028,0.54,0.27,Sloan,SDSS J154815.98+452206.5,237.06654,45.36847,Low Mass White Dwarfs
0.170429,337.6194354349369,-0.1254323765042,2630096616106785280,337.61943543494,-0.1254323765,65.6349522307944,-46.7095446707385,0.1850351203548367,,16.485302,-0.115068436,,-2.836814057961408,-6.655602990656827,0.9868388,10.782480949677222,0,1,337.61943543494,-0.1254323765,337.6194167,-0.1253889,223028.66-000731.4,0673-52162-0152,18644,303,4.101,0.048,0.5,0.45,Sloan,SDSS J223028.66-000731.4,337.61942,-0.12539,Low Mass White Dwarfs
0.039249,131.8661720018451,2.8041015698177,581036541741768448,131.86617200185,2.80410156982,224.4060296127076,26.959223147439296,0.1063239205051483,,16.910387,-0.104385376,,1.0503809643871125,-4.048476727444228,0.9837521,10.017576630500956,0,1,131.86617200185,2.80410156982,131.8661667,2.8041111,084727.88+024814.8,0564-52224-0070,14575,162,3.854,0.03,0.58,0.29,Sloan,SDSS J084727.88+024814.8,131.86617,2.80411,Low Mass White Dwarfs
0.041883,216.604544057616,14.2000441925945,1227773477382703616,216.60454405762,14.20004419259,7.418247767305471,64.37081339452763,0.0979409455313571,,17.466501,-0.2356739,,-1.841590572191396,-4.939449279358923,0.99511045,11.076207495059933,0,1,216.60454405762,14.20004419259,216.6045417,14.2000556,142625.09+141200.2,2747-54233-0298,19046,409,4.39,0.068,0.42,0.41,Sloan,SDSS J142625.09+141200.2,216.60454,14.20006,Low Mass White Dwarfs
