angDist,_RAJ2000,_DEJ2000,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,GMAG,Gmag,BP-RP,E(BP/RP)c,pmRA,pmDE,RUWE,Rpm,f_Plx,f_pm,_RA.icrs,_DE.icrs,_RAJ2000.1,_DEJ2000.1,P-M-F,SDSSJ,SNg,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E(B-V),PM,GLON.1,GLAT.1,Type,Sp,_RA,_DE
0.079116,143.4928661770598,17.7145759061573,632864633657062400,143.49286617706,17.71457590616,213.8878974735242,43.69652329856732,1.028486056507899,,19.112146,-0.27373314,,-4.981461408819909,2.695506303537905,1.0316027,12.877756398568174,0,1,143.49286617706,17.71457590616,143.492875,17.7145556,5312-56001-0914,093358.29+174252.49,12,18.669,0.018,19.32,0.022,19.32,0.022,19.582,0.028,19.735,0.067,0.032,7.4,213.9,43.7,DA,Sp,143.49287,17.71456
0.051265,151.9826513935867,21.5214998273519,628782559299616896,151.98265139359,21.52149982735,212.39054114827445,52.494684459105365,1.3682654440894892,,19.453049,-0.31790733,,7.8476097417645905,-10.04232546685856,1.0048944,14.97973618659655,0,1,151.98265139359,21.52149982735,151.9826667,21.5215,5893-56034-0698,100755.84+213117.41,16,19.115,0.024,19.291,0.019,19.665,0.021,19.884,0.03,20.142,0.097,0.023,16.9,212.4,52.5,DB,Sp,151.98267,21.5215
0.078626,126.2995725575972,11.8767969442291,649261066445946624,126.2995725576,11.87679694423,212.57048481942724,26.12267436820976,0.4205680202528028,,18.97503,-0.18239784,,-5.358020194341052,2.078294463566704,1.005584,12.772226336800486,0,1,126.2995725576,11.87679694423,126.2995833,11.8767778,4508-55600-0814,082511.90+115236.44,13,18.705,0.018,19.157,0.015,19.157,0.015,19.471,0.02,19.748,0.075,0.046,9.6,212.6,26.1,DA,Sp,126.29958,11.87678
0.056989,236.8700813750785,29.0352064594037,1224684326450164736,236.87008137508,29.0352064594,46.37656837364813,51.34804228469176,1.0924348561129251,,19.162987,-0.3742199,,-3.773515910027088,-3.518436926411332,1.022172,12.725958864041807,0,1,236.87008137508,29.0352064594,236.8700833,29.0352222,4726-55712-0352,154728.82+290206.83,11,18.621,0.018,19.372,0.018,19.372,0.018,19.719,0.021,19.981,0.081,0.025,5.5,46.4,51.3,DA,Sp,236.87008,29.03522
0.195151,238.9114337263705,35.2459774431096,1371892372014993280,238.91143372637,35.24597744311,56.3904596604736,50.136356410712175,1.2677262853725229,,19.616224,-0.32808113,,-0.2306935399588709,-16.989667897444257,0.9884491,15.767348871405224,0,1,238.91143372637,35.24597744311,238.9114583,35.2460278,1417-53141-0514,155538.75+351445.77,9,19.287,0.029,19.427,0.024,19.805,0.026,20.115,0.031,20.357,0.129,0.022,17.6,56.4,50.1,DA,Sp,238.91146,35.24603
0.131471,229.9878770654247,23.616337159027,1215809549626297216,229.98787706542,23.61633715903,35.35855018862558,56.38930944449554,0.7355790687793491,,19.059649,-0.36642265,,-7.245044450955463,3.5172061045676264,0.9688774,13.589614561031652,0,1,229.98787706542,23.61633715903,229.9879167,23.6163333,3961-55654-0106,151957.10+233658.89,22,18.476,0.02,18.781,0.016,19.306,0.015,19.663,0.024,20.009,0.111,0.04,11.3,35.4,56.4,DA,Sp,229.98792,23.61633
0.166139,232.9137862091937,23.5055948213179,1220871426283120768,232.91378620919,23.50559482132,36.31626556554722,53.76160142805053,1.017968896633002,,19.428862,-0.34851074,,-9.762322717280714,0.2715830996152606,1.0214299,14.377467437085627,0,1,232.91378620919,23.50559482132,232.9138333,23.5056111,3954-55680-0070,153139.32+233020.24,18,18.833,0.025,19.194,0.018,19.68,0.019,20.016,0.03,20.232,0.145,0.045,14.2,36.3,53.8,DA,Sp,232.91383,23.50561
0.12675,236.6010940918133,20.0683273823203,1216015742416268544,236.60109409181,20.06832738232,32.575528258092824,49.50057218214486,0.884422782488706,,19.162271,-0.2805195,,-5.9230769244860975,-6.770999957774053,0.99086875,13.932535607952865,0,1,236.60109409181,20.06832738232,236.6010833,20.0683611,3937-55352-0924,154624.26+200406.10,23,18.696,0.015,19.394,0.016,19.394,0.016,19.73,0.027,19.835,0.111,0.039,7.8,32.6,49.5,DA,Sp,236.60108,20.06836
0.192388,313.4513873920513,16.2723182387934,1764365349653803008,313.45138739205,16.27231823879,62.67427049875802,-17.87976121522114,1.742479607505088,,20.218367,0.14785194,,8.468209735336337,1.8174475644784436,0.9352592,14.906217877793829,0,1,313.45138739205,16.27231823879,313.4513333,16.2723056,2259-53565-0587,205348.32+161620.31,8,20.137,0.044,20.097,0.019,20.393,0.028,20.574,0.038,20.76,0.197,0.06,11.9,62.7,-17.9,DB,Sp,313.45133,16.27231
0.158505,325.4793595932913,10.4881530592708,1765713144750282624,325.47935959329,10.48815305927,65.69280384287428,-30.634960913853003,1.518597134894269,,19.619156,-0.35707664,,-11.432591204988713,-17.42912206945295,0.9450213,16.214076491994877,0,1,325.47935959329,10.48815305927,325.479375,10.4881944,4093-55475-0832,214155.05+102917.52,17,19.507,0.03,19.478,0.019,19.798,0.019,20.092,0.029,20.353,0.107,0.062,18.8,65.7,-30.6,DA,Sp,325.47937,10.48819
